EMPRESA,MODALIDAD_CONTRACTUAL,Segmento,ANO,TRIMESTRE,NUMERO_DE_BAJAS,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,II,189,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,II,5798,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2021,II,13254,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2021,II,31010,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2021,II,37126,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2021,II,392903,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2021,II,1322539,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2021,II,1786,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2021,II,12933,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2021,II,741122,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2021,II,1076440,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,III,728,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,III,8193,,
VIETTEL_PERU_S.A.C.,Postpago,Comercial,2021,III,1,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,III,132,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2021,III,2324,,
Entel_Peru_S.A.,Postpago,Residencial,2021,III,4692,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2021,III,7155,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,III,7377,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2021,III,16091,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2021,III,25389,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2021,III,41068,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2021,III,42048,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2021,III,46385,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2021,III,55125,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2021,III,326427,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2021,III,427086,,
Entel_Peru_S.A.,Control,Residencial,2021,III,441275,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2021,III,744340,,
Entel_Peru_S.A.,Prepago,Residencial,2021,III,977299,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2021,III,1175890,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2021,III,1181632,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2021,III,1355658,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2021,IV,469,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2021,IV,6664,,
Entel_Peru_S.A.,Postpago,Residencial,2021,IV,926,,
Entel_Peru_S.A.,Control,Residencial,2021,IV,479856,,
Entel_Peru_S.A.,Prepago,Residencial,2021,IV,1053549,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2021,IV,9259,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2021,IV,405264,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2021,IV,2419,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2021,IV,1245681,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2021,IV,1712,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2021,IV,62059,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2021,IV,49352,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2021,IV,373787,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2021,IV,1094856,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2021,IV,172,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2021,IV,7421,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2021,IV,23038,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2021,IV,41185,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2021,IV,43159,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2021,IV,452825,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2021,IV,1399362,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2022,I,2358,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2022,I,71134,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2022,I,117432,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2022,I,385401,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2022,I,1122260,,
Entel_Peru_S.A.,Postpago,Residencial,2022,I,521,,
Entel_Peru_S.A.,Control,Residencial,2022,I,467899,,
Entel_Peru_S.A.,Prepago,Residencial,2022,I,1106717,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2022,I,4619,,
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2022,I,4980,,
GUINEA MOBILE S.A.C.,Prepago,Comercial,2022,I,189,,
GUINEA MOBILE S.A.C.,Prepago,Residencial,2022,I,8963,,
Telefonica_del_Peru_S.A.A.,Postpago,Comercial,2022,I,21354,,
Telefonica_del_Peru_S.A.A.,Control,Comercial,2022,I,71364,,
Telefonica_del_Peru_S.A.A.,Postpago,Residencial,2022,I,115140,,
Telefonica_del_Peru_S.A.A.,Control,Residencial,2022,I,540953,,
Telefonica_del_Peru_S.A.A.,Prepago,Residencial,2022,I,1440922,,
VIETTEL_PERU_S.A.C.,Prepago,Comercial,2022,I,1779,,
VIETTEL_PERU_S.A.C.,Control,Comercial,2022,I,14755,,
VIETTEL_PERU_S.A.C.,Control,Residencial,2022,I,266174,,
VIETTEL_PERU_S.A.C.,Prepago,Residencial,2022,I,1100681,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Comercial,2022,II,5871,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Comercial,2022,II,61103,,
AMERICA_MOVIL_PERU_S.A.C.,Postpago,Residencial,2022,II,70259,,
AMERICA_MOVIL_PERU_S.A.C.,Control,Residencial,2022,II,408734,,
AMERICA_MOVIL_PERU_S.A.C.,Prepago,Residencial,2022,II,1146779,,
Entel_Peru_S.A.,Postpago,Residencial,2022,II,869,,
Entel_Peru_S.A.,Control,Residencial,2022,II,827843,,
