Empresa,Modalidad Contractual,Segmento,Ano,Trimestre,Numero de Bajas
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2019,IV,"68,172"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2019,IV,"308,073"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2019,IV,"13,905"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2019,IV,"26,133"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2019,IV,"2,108,889"
Entel Peru S.A.,Control,Residencial,2019,IV,"343,963"
Entel Peru S.A.,Postpago,Residencial,2019,IV,"3,905"
Entel Peru S.A.,Prepago,Residencial,2019,IV,"781,804"
GUINEA MOBILE S.A.C.,Prepago,Residencial,2019,IV,30
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2019,IV,"6,850"
Telefonica DEL Peru S.A.A.,Control,Comercial,2019,IV,"9,464"
Telefonica DEL Peru S.A.A.,Control,Residencial,2019,IV,"626,439"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2019,IV,"47,475"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2019,IV,"34,649"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2019,IV,"2,425,305"
VIETTEL PERU S.A.C.,Control,Comercial,2019,IV,"3,187"
VIETTEL PERU S.A.C.,Control,Residencial,2019,IV,"130,527"
VIETTEL PERU S.A.C.,Prepago,Comercial,2019,IV,"3,363"
VIETTEL PERU S.A.C.,Prepago,Residencial,2019,IV,"801,223"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2020,I,"69,585"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2020,I,"236,845"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2020,I,"32,396"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2020,I,"19,550"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2020,I,"1,544,328"
Entel Peru S.A.,Control,Residencial,2020,I,"306,082"
Entel Peru S.A.,Postpago,Residencial,2020,I,"6,529"
Entel Peru S.A.,Prepago,Residencial,2020,I,"851,901"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2020,I,200
GUINEA MOBILE S.A.C.,Prepago,Residencial,2020,I,775
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,I,760
Telefonica DEL Peru S.A.A.,Control,Comercial,2020,I,"6,874"
Telefonica DEL Peru S.A.A.,Control,Residencial,2020,I,"551,958"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2020,I,"52,797"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2020,I,"20,208"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2020,I,"1,854,211"
VIETTEL PERU S.A.C.,Control,Comercial,2020,I,"3,915"
VIETTEL PERU S.A.C.,Control,Residencial,2020,I,"154,052"
VIETTEL PERU S.A.C.,Prepago,Comercial,2020,I,"4,736"
VIETTEL PERU S.A.C.,Prepago,Residencial,2020,I,"1,126,988"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2020,II,"36,486"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2020,II,"186,540"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2020,II,"8,345"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2020,II,"17,663"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2020,II,"26,148"
Entel Peru S.A.,Control,Residencial,2020,II,"68,238"
Entel Peru S.A.,Postpago,Residencial,2020,II,"3,668"
Entel Peru S.A.,Prepago,Residencial,2020,II,"695,824"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,II,"2,255"
Guinea Mobile S.A.C.,Prepago,Residencial,2020,II,46
Telefonica DEL Peru S.A.A.,Control,Comercial,2020,II,"2,569"
Telefonica DEL Peru S.A.A.,Control,Residencial,2020,II,"83,188"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2020,II,"40,876"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2020,II,"5,219"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2020,II,"1,338,467"
VIETTEL PERU S.A.C.,Control,Comercial,2020,II,367
VIETTEL PERU S.A.C.,Control,Residencial,2020,II,"16,587"
VIETTEL PERU S.A.C.,Prepago,Comercial,2020,II,340
VIETTEL PERU S.A.C.,Prepago,Residencial,2020,II,"155,852"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2020,III,"83,840"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2020,III,"467,711"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2020,III,"13,779"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2020,III,"26,046"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2020,III,"2,322,520"
Entel Peru S.A.,Control,Residencial,2020,III,"376,117"
Entel Peru S.A.,Postpago,Residencial,2020,III,"5,437"
Entel Peru S.A.,Prepago,Residencial,2020,III,"713,816"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2020,III,300
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,III,"2,884"
Guinea Mobile S.A.C.,Prepago,Residencial,2020,III,848
Telefonica DEL Peru S.A.A.,Control,Comercial,2020,III,"10,700"
Telefonica DEL Peru S.A.A.,Control,Residencial,2020,III,"491,915"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2020,III,"49,826"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2020,III,"15,607"
Telefonica DEL Peru S.A.A.,Prepago,Residencial,2020,III,"1,505,491"
VIETTEL PERU S.A.C.,Control,Comercial,2020,III,"3,597"
VIETTEL PERU S.A.C.,Control,Residencial,2020,III,"148,455"
VIETTEL PERU S.A.C.,Prepago,Comercial,2020,III,229
VIETTEL PERU S.A.C.,Prepago,Residencial,2020,III,"183,809"
AMERICA MOVIL PERU S.A.C.,Control,Comercial,2020,IV,"81,949"
AMERICA MOVIL PERU S.A.C.,Control,Residencial,2020,IV,"519,099"
AMERICA MOVIL PERU S.A.C.,Postpago,Comercial,2020,IV,"16,657"
AMERICA MOVIL PERU S.A.C.,Postpago,Residencial,2020,IV,"31,939"
AMERICA MOVIL PERU S.A.C.,Prepago,Residencial,2020,IV,"2,508,397"
Entel Peru S.A.,Control,Residencial,2020,IV,"378,750"
Entel Peru S.A.,Postpago,Residencial,2020,IV,"7,250"
Entel Peru S.A.,Prepago,Residencial,2020,IV,"925,137"
FLASH SERVICIOS Peru S.R.L.,Prepago,Comercial,2020,IV,"1,398"
FLASH SERVICIOS Peru S.R.L.,Prepago,Residencial,2020,IV,"19,181"
GUINEA MOBILE S.A.C.,Prepago,Comercial,2020,IV,73
GUINEA MOBILE S.A.C.,Prepago,Residencial,2020,IV,793
Telefonica DEL Peru S.A.A.,Control,Comercial,2020,IV,"12,023"
Telefonica DEL Peru S.A.A.,Control,Residencial,2020,IV,"358,259"
Telefonica DEL Peru S.A.A.,Postpago,Comercial,2020,IV,"42,413"
Telefonica DEL Peru S.A.A.,Postpago,Residencial,2020,IV,"9,470"
